pid,skill_name,endorsement
56,Blogging,7
56,Editing,7
56,Technical Writing,6
56,Clinical Trials,5
56,Grant Writing,4
56,Proofreading,4
56,Social Media,3
56,Proposal Writing,3
56,Higher Education,3
56,Writing,3
56,Data Management,2
56,Nonprofits,2
56,Newsletters,2
56,Public Health,2
56,Publishing,2
56,Clinical Research,2
56,Content Management,2
56,Social Media Marketing,1
56,Teaching,6
56,Public Speaking,2
56,Social Networking,4
57,Artificial Intelligence,19
57,Java,10
57,Software Development,9
57,Machine Learning,3
57,Agile Project Management,0
57,C++,7
57,C#,4
57,XML,2
57,CSS,2
57,JavaScript,1
57,AJAX,1
57,Flash,0
57,JUnit,0
57,ActionScript,0
57,Natural Language Processing,4
57,Common Lisp,3
57,NUnit,0
57,Information Extraction,0
57,Natural Language Understanding,0
57,Prototyping,0
57,Speech Recognition,0
57,Text Processing,0
59,Microsoft Office,22
59,Troubleshooting,19
59,Security,17
59,Telecommunications,5
59,Project Management,5
59,Research,4
59,Technical Training,2
59,Nonprofits,2
59,Staff Training,1
59,Help Desk Management,1
59,Technical Support,1
59,Microsoft Excel,15
59,Windows,11
59,HTML,9
59,Outlook,8
59,Java,6
59,Access,2
59,Microsoft Word,2
59,Word,1
59,Excel,1
59,PHP,0
59,HTML 5,0
59,Training,16
59,Management,14
59,Public Speaking,11
59,Customer Service,7
59,Leadership,2
59,Networking,15
59,Technical Presentations,1
59,Help Desk Support,6
60,Programming,4
60,C++,2
60,Computer Science,1
61,Technical Writing,4
61,Nutrition,4
61,Small Business,3
61,Computer Science,1
61,Public Speaking,3
61,Nutritional Counseling,2
63,Small Business,15
63,Team Building,13
63,Leadership,11
63,Entrepreneurship,11
63,Strategic Planning,10
63,Marketing Strategy,9
63,Start-ups,8
63,Marketing,7
63,Business Development,5
63,Business Planning,4
63,Management Consulting,4
63,Sales Management,3
63,Business Strategy,3
63,Program Management,2
63,Mergers & Acquisitions,1
63,Account Management,1
63,Coaching,4
63,Training,4
63,Management,4
63,Negotiation,1
63,Leadership Development,1
63,Public Speaking,1
63,New Business Development,9
66,Java,11
66,Eclipse,4
66,Python,4
66,Website Design,4
66,EViews,3
66,Matlab,3
66,C,3
66,Ruby on Rails,3
66,SQL,3
66,PHP,3
66,HTML,4
66,Adobe Illustrator,4
66,Adobe Photoshop,3
66,Microsoft PowerPoint,4
66,Adobe Lightroom,3
66,Microsoft Excel,8
66,PowerPoint,10
66,Photoshop,6
66,Microsoft Office,5
66,Public Speaking,8
66,Customer Service,3
66,Wireshark,3
66,Adobe Bridge,2
66,Windows Movie Maker,3
66,Fluent in both Cantonese and Mandarin,3
68,Litigation Support,10
68,Legal Research,5
68,Litigation,4
68,Document Review,4
68,Legal Writing,3
68,Competition Law,2
68,Data Analysis,1
68,Legal Assistance,1
68,Trials,1
68,Legal Discovery,4
68,Data Analytics,1
71,Ballet,6
71,Dance,5
71,Theatre,2
71,Performing Arts,2
71,Unix,1
71,Solaris,1
77,Intellectual Property,11
77,Patent Prosecution,9
77,Patents,8
77,Trademarks,5
77,Licensing,4
77,Copyright Law,3
77,IP,3
77,Privacy Law,1
77,Litigation,1
77,Corporate Law,1
77,Trade Secrets,1
77,Due Diligence,1
77,Patent Litigation,4
77,Patentability,2
79,Software Engineering,21
79,Java,19
79,Software Development,15
79,Agile Methodologies,9
79,Scrum,3
79,Distributed Systems,3
79,Enterprise Architecture,2
79,System Architecture,2
79,SQL,14
79,Python,9
79,Microsoft SQL Server,7
79,Linux,6
79,C#,3
79,MySQL,2
79,Unix,2
79,Eclipse,2
79,Subversion,2
79,ASP.NET,1
79,AJAX,1
84,Nonprofits,2
84,Microsoft Office,2
84,Program Management,1
84,Project Management,1
84,Microsoft Excel,1
84,Microsoft Word,1
84,Leadership,1
84,Management,1
85,Leadership,5
85,Git,4
85,XML,1
85,Web Development,0
85,Java,1
85,JavaScript,1
85,Microsoft Office,0
85,HTML,0
85,CSS,0
85,WordPress,0
85,Microsoft Excel,0
85,PHP,0
85,Ruby on Rails,0
89,Adeptia,0
89,Data Analysis,3
89,Statistics,2
89,Computer Science,0
89,Programming,0
89,Editing,2
89,Visual Arts,0
89,Java,1
89,Microsoft Office,3
89,Microsoft Excel,2
89,Microsoft Word,2
89,Creative Problem Solving,0
89,Public Speaking,2
89,Leadership,2
89,Teaching,2
89,Serengeti Tracker,0
